Export quantity to total world,,,,
"https://www.eia.gov/coal/data/browser/#/topic/41?agg=2,1,0&rank=ok&map=COAL.EXPORT_QTY.TOT-TOT-TOT.A&freq=A&start=2020&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,
Tue Apr 26 2022 15:16:38 GMT-0500 (Central Daylight Time),,,,
Source: U.S. Energy Information Administration,,,,
description,units,,,2021
Export quantity to total world,short tons,,,
Total world,,,,
Total world : all coal,short tons,,,85208289
Total world : steam coal,short tons,,,39872727
Total world : metallurgical,short tons,,,45335562
Total world : coke,short tons,,,2081358
Afghanistan,,,,
Afghanistan : all coal,short tons,,,--
Afghanistan : steam coal,short tons,,,--
Algeria,,,,
Algeria : all coal,short tons,,,19
Algeria : steam coal,short tons,,,19
Algeria : metallurgical,short tons,,,--
Algeria : coke,short tons,,,--
Andorra,,,,
Andorra : all coal,short tons,,,--
Andorra : steam coal,short tons,,,--
Angola,,,,
Angola : all coal,short tons,,,--
Angola : steam coal,short tons,,,--
Angola : coke,short tons,,,--
Antigua And Barbuda,,,,
Antigua And Barbuda : all coal,short tons,,,--
Antigua And Barbuda : steam coal,short tons,,,--
Argentina,,,,
Argentina : all coal,short tons,,,131534
Argentina : steam coal,short tons,,,202
Argentina : metallurgical,short tons,,,131332
Argentina : coke,short tons,,,35702
Armenia,,,,
Armenia : all coal,short tons,,,--
Armenia : steam coal,short tons,,,--
Armenia : metallurgical,short tons,,,--
Aruba,,,,
Aruba : all coal,short tons,,,--
Aruba : steam coal,short tons,,,--
Aruba : coke,short tons,,,--
Australia,,,,
Australia : all coal,short tons,,,1434
Australia : steam coal,short tons,,,1404
Australia : metallurgical,short tons,,,30
Australia : coke,short tons,,,292
Austria,,,,
Austria : all coal,short tons,,,1296827
Austria : steam coal,short tons,,,--
Austria : metallurgical,short tons,,,1296827
Azerbaijan,,,,
Azerbaijan : all coal,short tons,,,142
Azerbaijan : steam coal,short tons,,,142
Bahamas,,,,
Bahamas : all coal,short tons,,,28
Bahamas : steam coal,short tons,,,28
Bahamas : metallurgical,short tons,,,--
Bahamas : coke,short tons,,,--
Bahrain,,,,
Bahrain : coke,short tons,,,--
Bangladesh,,,,
Bangladesh : coke,short tons,,,--
Barbados,,,,
Barbados : all coal,short tons,,,42
Barbados : steam coal,short tons,,,42
Barbados : coke,short tons,,,--
Belgium,,,,
Belgium : all coal,short tons,,,286401
Belgium : steam coal,short tons,,,22093
Belgium : metallurgical,short tons,,,264308
Belgium : coke,short tons,,,--
Belize,,,,
Belize : all coal,short tons,,,--
Belize : steam coal,short tons,,,--
Benin,,,,
Benin : coke,short tons,,,--
Bermuda,,,,
Bermuda : all coal,short tons,,,2
Bermuda : steam coal,short tons,,,2
Bermuda : metallurgical,short tons,,,--
Bermuda : coke,short tons,,,41
Bolivia,,,,
Bolivia : all coal,short tons,,,24
Bolivia : steam coal,short tons,,,24
Bolivia : coke,short tons,,,--
